NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11;NSta=12;NSta=13;NSta=14;NSta=15;NSta=16
6,10E-08;6,71E-08;6,23E-08;6,72E-08;6,35E-08;6,09E-08;6,43E-08;2,37E-07;2,51E-07;6,74E-08;6,45E-08;6,53E-08;6,17E-08;6,76E-08;6,82E-08;6,86E-08
6,01E-08;6,02E-08;6,41E-08;6,65E-08;1,34E-07;6,35E-08;6,69E-08;9,30E-08;7,21E-08;6,02E-08;6,14E-08;1,83E-07;6,28E-08;1,45E-07;5,11E-07;8,95E-08
6,61E-08;6,61E-08;6,09E-08;6,62E-08;5,55E-07;3,03E-07;6,64E-08;1,98E-07;6,45E-08;1,69E-07;6,16E-08;6,76E-08;6,29E-08;6,48E-08;4,93E-07;7,89E-07
6,51E-08;6,83E-08;6,57E-08;1,41E-07;6,14E-08;4,55E-07;6,29E-08;6,41E-08;6,82E-08;2,04E-07;6,65E-08;6,36E-08;6,30E-08;6,89E-08;9,35E-08;6,82E-08
6,81E-08;6,51E-08;6,55E-08;6,53E-08;6,71E-08;6,42E-08;6,54E-08;7,81E-08;6,06E-08;6,16E-08;9,97E-08;2,03E-07;6,50E-08;3,55E-07;6,19E-08;8,61E-08
6,71E-08;6,13E-08;6,73E-08;6,46E-08;6,57E-08;6,58E-08;6,50E-08;6,05E-08;6,53E-08;6,04E-08;7,66E-08;3,70E-07;6,11E-08;6,60E-08;3,64E-07;6,20E-08
6,41E-08;6,41E-08;6,71E-08;6,43E-08;6,83E-08;6,23E-08;6,75E-08;2,37E-07;7,87E-08;6,17E-08;6,78E-08;2,47E-07;1,09E-07;2,10E-07;2,34E-07;6,48E-08
6,70E-08;6,10E-08;6,69E-08;6,40E-08;6,50E-08;6,79E-08;4,06E-07;6,34E-08;6,40E-08;6,50E-08;7,60E-08;6,50E-08;6,03E-08;6,80E-08;6,00E-08;6,26E-08
6,61E-08;6,32E-08;6,86E-08;6,33E-08;6,06E-08;6,65E-08;6,36E-08;3,22E-07;2,12E-07;1,33E-07;1,36E-07;6,30E-08;6,44E-08;2,63E-07;1,35E-06;6,85E-08
6,30E-08;6,00E-08;1,01E-07;2,79E-07;6,33E-08;6,01E-08;3,33E-07;6,33E-08;6,61E-08;6,81E-08;6,01E-08;6,11E-08;1,35E-06;6,02E-08;6,87E-08;6,72E-08
6,21E-08;6,22E-08;6,52E-08;6,24E-08;6,29E-08;6,87E-08;6,86E-08;6,47E-08;2,70E-07;2,65E-07;6,90E-08;6,11E-08;6,06E-08;6,73E-08;1,41E-07;5,49E-07
6,50E-08;6,80E-08;6,50E-08;6,21E-08;6,86E-08;1,02E-07;6,22E-08;6,52E-08;6,02E-08;1,40E-07;6,82E-08;6,02E-08;6,26E-08;6,33E-08;2,58E-07;3,93E-07
6,41E-08;6,42E-08;6,68E-08;6,14E-08;6,72E-08;6,78E-08;6,17E-08;6,06E-08;6,59E-08;6,20E-08;5,34E-07;6,22E-08;1,66E-07;6,24E-08;4,29E-07;1,41E-07
6,10E-08;6,71E-08;6,66E-08;6,11E-08;6,09E-08;6,44E-08;6,42E-08;6,40E-08;6,33E-08;3,98E-07;6,13E-08;6,24E-08;6,78E-08;1,01E-07;6,85E-08;2,00E-07
6,01E-08;1,17E-07;6,84E-08;6,64E-08;6,85E-08;6,30E-08;3,07E-07;6,25E-08;6,40E-08;6,81E-08;4,82E-07;6,33E-08;6,79E-08;7,25E-08;6,01E-08;6,14E-08
6,30E-08;6,61E-08;6,82E-08;6,02E-08;3,62E-07;6,86E-08;6,03E-08;4,15E-07;6,44E-07;3,15E-07;6,01E-08;1,32E-07;6,70E-08;6,16E-08;6,13E-08;6,53E-08
6,51E-08;6,22E-08;6,40E-08;6,25E-08;6,68E-08;1,00E-07;6,28E-08;6,54E-08;6,31E-08;6,72E-08;2,52E-07;6,34E-08;6,31E-08;1,40E-07;1,36E-07;2,12E-07
6,80E-08;6,51E-08;6,08E-08;6,82E-08;6,05E-08;6,67E-08;2,18E-07;6,08E-08;6,00E-07;9,05E-08;6,85E-08;8,26E-08;6,92E-08;6,17E-08;6,27E-08;3,16E-07
6,71E-08;6,13E-08;6,25E-08;6,45E-08;6,81E-08;6,83E-08;6,49E-08;6,52E-08;6,72E-08;3,10E-07;2,37E-07;6,55E-08;2,51E-07;1,06E-06;6,69E-08;5,69E-07
6,11E-08;2,65E-07;6,23E-08;6,72E-08;6,48E-08;6,59E-08;6,74E-08;1,37E-07;6,75E-08;6,56E-08;6,76E-08;6,27E-08;6,43E-08;6,18E-08;7,69E-08;2,77E-07
6,31E-08;6,03E-08;6,41E-08;6,36E-08;6,04E-08;6,44E-08;1,93E-07;6,41E-08;6,22E-08;6,69E-08;1,37E-07;8,47E-08;1,84E-07;3,31E-07;1,02E-07;1,96E-07
6,61E-08;6,31E-08;6,39E-08;9,93E-08;2,28E-07;1,42E-07;6,35E-08;6,55E-08;9,36E-08;6,12E-08;8,77E-08;6,88E-08;1,39E-07;2,07E-07;8,45E-08;1,40E-07
6,51E-08;6,83E-08;6,57E-08;6,26E-08;6,77E-08;6,86E-08;6,30E-08;6,30E-08;6,03E-08;6,75E-08;6,56E-08;1,34E-06;6,06E-08;3,95E-07;7,02E-08;6,02E-08
6,21E-08;6,52E-08;6,85E-08;8,63E-08;6,84E-08;6,82E-08;2,49E-07;6,04E-08;6,57E-08;2,49E-07;6,29E-08;1,58E-07;6,47E-08;6,61E-08;1,02E-07;9,10E-08
6,50E-08;6,80E-08;6,53E-08;6,50E-08;6,20E-08;6,48E-08;6,80E-08;6,59E-08;4,38E-07;2,71E-07;6,21E-08;3,00E-07;2,89E-07;1,38E-07;8,79E-07;6,19E-08
6,41E-08;6,42E-08;6,71E-08;6,13E-08;6,07E-08;3,40E-07;1,79E-07;8,83E-08;6,58E-08;6,54E-08;6,19E-08;6,38E-08;3,63E-07;3,38E-07;1,81E-07;6,48E-08
6,70E-08;6,70E-08;6,68E-08;6,41E-08;6,63E-08;6,39E-08;6,41E-08;6,57E-08;6,22E-08;6,77E-08;1,42E-07;1,99E-07;1,44E-07;7,44E-07;6,22E-08;6,57E-08
6,01E-08;6,32E-08;2,40E-07;6,04E-08;9,80E-08;8,05E-08;6,07E-08;6,42E-08;6,39E-08;6,70E-08;6,81E-08;1,44E-06;5,52E-07;6,13E-08;6,02E-08;6,42E-07
6,30E-08;6,60E-08;6,84E-08;6,61E-08;2,94E-07;9,21E-08;6,02E-08;6,26E-08;6,22E-08;6,83E-08;6,43E-08;6,73E-08;6,03E-08;6,84E-08;2,97E-07;6,50E-07
6,21E-08;6,22E-08;6,12E-08;6,84E-08;6,43E-08;6,67E-08;6,87E-08;6,31E-08;6,30E-08;6,66E-08;6,12E-08;1,00E-07;1,39E-07;1,31E-07;2,05E-07;6,03E-08
1,31E-07;6,81E-08;2,62E-07;6,21E-08;6,09E-08;6,62E-08;6,22E-08;6,75E-08;1,88E-07;6,28E-08;2,49E-07;4,90E-07;1,91E-07;6,55E-08;1,91E-07;6,02E-08
6,71E-08;6,12E-08;6,28E-08;6,75E-08;6,56E-08;6,48E-08;6,18E-08;6,99E-08;6,60E-08;7,91E-07;6,33E-08;6,24E-08;1,53E-07;6,76E-08;8,47E-08;1,32E-07
6,10E-08;6,71E-08;6,11E-08;6,72E-08;6,22E-08;6,14E-08;6,43E-08;2,36E-07;2,33E-07;6,44E-08;6,45E-08;6,35E-08;5,86E-06;6,06E-08;6,37E-08;7,20E-08
6,01E-08;6,02E-08;6,68E-08;6,65E-08;9,69E-08;6,40E-08;6,69E-08;1,25E-07;1,00E-07;6,77E-08;6,44E-08;1,58E-07;6,49E-06;6,37E-08;6,39E-08;6,93E-07
6,61E-08;6,61E-08;6,75E-08;6,62E-08;6,05E-08;2,51E-07;9,34E-08;2,03E-07;6,65E-08;3,16E-07;6,66E-08;6,76E-08;6,67E-08;6,88E-08;1,69E-07;4,48E-07
6,51E-08;6,83E-08;6,59E-08;1,41E-07;6,51E-08;6,61E-08;6,29E-08;6,07E-08;6,22E-08;1,34E-07;6,75E-08;6,36E-08;8,80E-06;6,19E-08;6,20E-08;7,93E-08
6,81E-08;6,51E-08;6,82E-08;6,53E-08;6,58E-08;6,87E-08;6,54E-08;7,71E-08;6,46E-08;6,46E-08;1,78E-07;6,27E-08;6,08E-08;2,72E-07;6,12E-08;6,02E-08
6,71E-08;6,13E-08;8,66E-06;6,46E-08;6,45E-08;6,13E-08;6,50E-08;6,76E-08;6,23E-08;6,39E-08;3,38E-07;4,01E-07;6,49E-08;6,20E-08;3,04E-07;6,03E-08
6,41E-08;6,41E-08;5,56E-06;6,43E-08;6,71E-08;6,68E-08;6,75E-08;2,07E-07;2,03E-07;6,82E-08;6,68E-08;5,68E-07;9,20E-08;6,20E-08;1,21E-06;3,31E-07
6,70E-08;6,10E-08;4,57E-06;6,40E-08;6,37E-08;6,34E-08;4,06E-07;6,74E-08;6,40E-08;6,85E-08;2,02E-07;6,78E-08;6,20E-08;6,00E-08;6,70E-08;1,69E-06
6,61E-08;6,32E-08;8,59E-06;6,33E-08;5,97E-07;6,20E-08;6,36E-08;2,98E-07;6,17E-08;1,68E-07;4,12E-07;6,61E-07;6,61E-08;5,38E-07;1,99E-07;6,47E-08
6,30E-08;6,00E-08;7,75E-07;2,34E-07;6,60E-08;6,46E-08;6,01E-08;6,73E-08;6,61E-08;6,31E-08;7,81E-08;6,51E-08;1,62E-07;6,02E-08;5,49E-07;6,02E-08
6,21E-08;6,22E-08;2,55E-06;6,24E-08;6,17E-08;6,42E-08;6,86E-08;6,77E-08;9,28E-08;6,64E-08;6,40E-08;6,69E-08;6,52E-08;6,73E-08;5,25E-07;8,65E-08
6,50E-08;6,80E-08;4,52E-06;6,21E-08;6,73E-08;6,17E-08;6,22E-08;6,02E-08;6,02E-08;1,72E-07;3,23E-07;6,12E-08;9,83E-08;7,23E-08;2,33E-07;7,92E-06
6,41E-08;6,42E-08;5,77E-06;6,14E-08;6,60E-08;6,33E-08;6,17E-08;6,06E-08;6,69E-08;6,20E-08;6,51E-08;2,29E-07;1,29E-07;2,48E-07;1,63E-07;2,60E-07
6,10E-08;6,71E-08;9,58E-06;6,11E-08;6,86E-08;6,89E-08;8,22E-08;6,51E-08;6,83E-08;1,01E-06;6,13E-08;6,84E-08;7,54E-08;5,90E-07;6,75E-08;6,55E-08
6,01E-08;1,35E-07;6,33E-08;6,64E-08;6,73E-08;6,75E-08;3,43E-07;6,65E-08;6,40E-08;6,46E-08;6,12E-08;6,73E-08;6,54E-08;1,10E-07;6,17E-08;1,83E-07
6,30E-08;6,61E-08;6,61E-08;6,02E-08;6,69E-08;6,41E-08;6,03E-08;6,69E-08;2,10E-07;3,39E-07;6,74E-08;2,97E-06;6,35E-08;6,46E-08;6,86E-08;6,36E-08
6,51E-08;6,22E-08;6,54E-08;6,25E-08;6,06E-08;1,32E-07;6,28E-08;6,64E-08;6,21E-08;6,42E-08;2,75E-07;6,34E-08;6,26E-08;2,06E-07;7,06E-07;1,39E-07
;;;;;;;;;;;;;;;
6,55E-08;7,09E-08;1,09E-06;7,62E-08;1,02E-07;9,26E-08;1,07E-07;1,05E-07;1,20E-07;1,53E-07;1,28E-07;2,49E-07;5,62E-07;1,71E-07;2,36E-07;3,82E-07
