NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11
6,72E-08;6,49E-08;6,13E-08;6,39E-08;2,47E-07;5,96E-07;8,23E-07;1,56E-07;5,56E-06;3,93E-06;5,10E-05
6,05E-08;6,34E-08;9,24E-08;1,46E-07;6,90E-07;2,36E-06;5,72E-07;1,94E-06;7,48E-08;5,37E-07;5,32E-06
6,62E-08;6,88E-08;6,86E-08;6,47E-08;5,68E-07;4,05E-07;1,05E-06;1,46E-07;5,70E-06;2,42E-06;3,18E-07
6,85E-08;1,42E-07;1,72E-07;1,03E-07;7,56E-08;5,34E-07;2,08E-06;1,98E-06;5,95E-06;6,08E-08;6,51E-06
6,53E-08;6,67E-08;6,29E-08;1,70E-06;3,01E-07;7,78E-08;7,08E-08;7,98E-07;1,17E-06;1,03E-07;5,30E-06
6,76E-08;6,01E-08;6,41E-08;8,13E-08;1,38E-07;5,73E-07;1,12E-05;1,35E-07;1,38E-06;8,25E-06;5,73E-05
2,20E-07;9,56E-08;1,38E-07;2,29E-07;6,43E-08;1,31E-06;5,18E-07;1,01E-06;2,42E-05;6,37E-08;3,52E-07
6,40E-08;6,50E-08;6,54E-08;1,14E-06;3,65E-07;4,73E-07;6,12E-07;3,51E-07;3,21E-06;2,18E-05;6,41E-08
6,63E-08;6,34E-08;6,55E-08;6,39E-08;6,15E-08;6,88E-08;9,09E-07;2,65E-07;1,27E-06;3,12E-05;7,94E-08
6,30E-08;6,89E-08;9,47E-08;4,25E-07;6,51E-08;2,19E-07;3,33E-06;1,00E-06;5,91E-05;8,68E-07;7,99E-07
6,54E-08;6,73E-08;6,38E-08;6,77E-08;2,06E-07;8,03E-07;2,85E-07;3,54E-07;3,81E-05;2,49E-06;4,12E-06
6,21E-08;2,47E-07;1,29E-07;3,45E-07;7,63E-08;4,60E-07;5,99E-06;7,47E-08;9,66E-07;5,94E-07;8,22E-07
6,44E-08;6,02E-08;6,72E-08;1,03E-06;3,25E-07;3,69E-06;1,62E-07;1,30E-06;5,50E-06;6,62E-06;1,44E-06
6,11E-08;6,06E-08;6,63E-08;8,43E-08;1,42E-07;1,10E-06;7,87E-07;9,99E-08;8,79E-06;2,05E-06;4,23E-07
1,02E-07;9,81E-08;1,42E-07;2,08E-07;6,81E-08;6,72E-07;1,06E-06;6,65E-08;1,43E-06;5,35E-06;1,92E-05
6,32E-08;6,75E-08;6,06E-08;6,61E-08;2,91E-07;8,70E-07;9,43E-07;6,78E-08;7,51E-08;2,54E-07;3,78E-06
6,55E-08;6,59E-08;6,58E-08;6,39E-08;4,59E-07;1,24E-06;4,40E-06;9,80E-07;6,25E-08;9,99E-07;3,36E-06
6,22E-08;6,24E-08;1,49E-07;4,04E-07;7,09E-08;8,69E-08;7,90E-07;8,70E-07;3,95E-06;1,42E-06;9,78E-06
6,45E-08;6,08E-08;6,01E-08;6,47E-08;2,10E-07;1,43E-07;3,07E-06;4,72E-07;6,31E-06;8,10E-08;2,61E-07
6,12E-08;1,45E-07;1,34E-07;1,40E-07;8,22E-08;3,95E-07;6,26E-07;6,22E-08;1,22E-06;7,74E-07;5,28E-06
6,36E-08;6,27E-08;6,34E-08;2,32E-07;3,19E-07;4,69E-07;4,90E-07;4,78E-07;1,68E-06;9,06E-08;3,88E-05
6,03E-08;6,31E-08;6,26E-08;8,63E-08;1,38E-07;9,20E-08;6,23E-08;1,12E-06;5,65E-07;1,97E-06;8,83E-08
1,02E-07;1,01E-07;1,43E-07;3,33E-07;6,90E-08;9,65E-08;2,07E-07;1,33E-07;8,85E-05;2,04E-06;1,08E-06
6,23E-08;6,10E-08;6,09E-08;6,81E-08;1,30E-06;5,07E-07;1,53E-06;4,50E-07;6,01E-08;4,05E-06;0,00012419
6,80E-08;6,64E-08;6,40E-08;6,49E-08;2,44E-07;1,79E-06;2,23E-06;1,97E-06;2,30E-05;3,27E-07;1,34E-07
6,13E-08;6,49E-08;1,84E-07;4,24E-07;6,97E-08;8,94E-08;6,88E-08;3,80E-06;1,63E-05;7,32E-06;9,66E-08
6,71E-08;6,13E-08;6,13E-08;6,57E-08;5,79E-07;6,39E-08;9,64E-08;6,28E-08;1,39E-06;4,12E-07;1,20E-06
6,04E-08;2,24E-07;1,38E-07;1,35E-07;7,79E-08;2,21E-07;1,26E-06;4,66E-06;1,03E-06;1,96E-06;2,85E-05
6,61E-08;6,22E-08;6,47E-08;1,25E-06;3,19E-07;5,97E-07;2,33E-06;2,51E-06;4,74E-07;4,21E-07;1,12E-05
