Nsta;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9
1;0.0776;0.0655;0.0823;0.0739;0.0915;0.0744
2;0.0852;0.0709;0.107;0.0974;0.109;0.0852
3;0.089;0.075;0.111;0.105;0.127;0.0933
4;0.0921;0.0762;0.148;0.129;0.218;0.26
5;0.113;0.102;0.21;0.215;0.867;0.328
6;0.126;0.0926;0.226;0.157;2.38;0.637
7;0.122;0.107;0.432;0.251;3.25;1.5
8;0.125;0.105;1.09;0.389;3.64;1.79
9;0.171;0.12;3.05;2.62;4.42;4.4
12;0.184;0.15;7.97;5.30;7.1;7.4
15;0.308;0.26;8.94;8.6;15.05;13.2
18;0.442;0.33;26.1;16.2;;20
21;0.443;0.39;;;;
32;0.444;0.382;;;;
35;0.661;0.407;;;;
38;7.93;4.8;;;;
40;14.7;10.9;;;;
