Nsta;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9
1;0.0776;0.0655;0.0823;0.0739;0.0915;0.0744
2;0.0852;0.0709;0.107;0.0974;0.109;0.0852
3;0.089;0.075;0.111;0.105;0.127;0.0933
4;0.0921;0.0762;0.148;0.129;0.218;0.26
5;0.113;0.102;0.21;0.215;0.867;0.328
6;0.126;0.0926;0.226;0.157;2.38;0.637
7;0.122;0.107;0.432;0.251;3.64;1.5
8;0.125;0.105;1.09;0.389;3.25;1.79
9;0.171;0.12;3.05;2.62;11.1;6.95
10;0.171;0.153;3.69;1.91;6.44;4.86
11;0.177;0.128;5.53;6.59;3.68;11.6
12;0.184;0.249;12.6;5.03;;
13;0.478;0.562;;;;
14;0.225;0.171;;;;
15;0.237;0.236;;;;
16;0.444;0.382;;;;
