NSta=9;NSta=12;NSta=15;NSta=18;NSta=21
7,84E-08;7,85E-08;7,79E-08;1,09E-07;1,52E-06
1,52E-07;9,59E-07;7,58E-08;8,44E-07;1,48E-06
7,65E-08;8,56E-08;1,56E-07;1,07E-07;1,36E-06
2,04E-07;3,58E-07;3,57E-07;4,73E-07;6,29E-07
1,35E-06;5,10E-07;2,01E-07;6,92E-07;4,64E-06
7,23E-08;7,97E-08;1,50E-06;2,02E-06;2,54E-06
7,76E-08;7,79E-08;1,06E-07;3,24E-07;3,20E-06
7,30E-08;1,54E-07;2,45E-07;7,54E-08;7,80E-07
3,39E-07;8,10E-08;9,03E-07;1,16E-06;5,48E-07
7,81E-08;2,67E-07;7,92E-08;1,20E-06;1,41E-07
7,68E-08;9,66E-07;6,43E-07;1,62E-07;2,44E-06
7,72E-08;7,33E-08;1,41E-07;7,85E-08;2,75E-06
7,49E-08;1,69E-07;2,29E-07;9,88E-08;9,12E-08
7,23E-08;7,74E-08;1,44E-07;7,66E-08;7,60E-08
7,90E-08;8,03E-08;7,89E-08;8,07E-08;9,73E-06
7,44E-08;1,00E-07;8,06E-08;7,35E-08;8,85E-07
7,51E-08;7,34E-08;7,81E-07;9,88E-08;1,03E-06
8,04E-08;7,46E-08;8,10E-08;8,99E-08;1,87E-07
1,92E-07;2,33E-07;7,22E-08;1,54E-07;4,04E-06
1,92E-07;8,07E-08;3,89E-07;7,87E-07;1,14E-07
8,02E-08;7,87E-08;1,13E-07;8,95E-08;8,83E-08
7,36E-08;9,28E-08;7,90E-08;7,46E-08;8,48E-07
4,93E-07;7,98E-08;2,94E-07;8,73E-07;0,000113271
1,94E-07;2,19E-07;5,23E-07;1,22E-06;1,10E-07
8,01E-08;7,81E-08;7,21E-08;4,03E-07;1,44E-05
7,48E-08;7,50E-08;7,65E-08;8,06E-08;9,36E-06
7,91E-08;7,32E-08;1,34E-06;1,45E-07;1,01E-06
7,29E-08;7,32E-08;7,97E-08;1,30E-06;6,83E-06
7,52E-08;7,73E-08;1,51E-07;7,76E-08;2,44E-05
1,42E-07;4,12E-07;9,06E-08;7,32E-07;1,36E-06
7,33E-08;8,04E-08;1,39E-07;9,78E-07;1,95E-07
2,80E-07;2,33E-07;2,37E-07;2,41E-07;9,64E-05
7,44E-08;7,35E-08;7,59E-08;2,46E-07;1,98E-06
1,13E-07;7,55E-08;9,83E-08;1,40E-07;1,45E-06
7,45E-08;1,95E-07;8,48E-08;7,70E-08;1,20E-05
2,95E-07;1,58E-07;5,26E-07;7,64E-08;9,39E-07
7,36E-08;1,43E-07;2,74E-07;2,30E-07;1,07E-07
7,63E-08;7,87E-08;8,54E-07;2,84E-07;1,59E-06
7,76E-08;7,99E-08;7,51E-08;4,06E-07;7,73E-08
7,30E-08;3,25E-07;7,68E-08;7,97E-08;5,80E-07
2,82E-07;7,70E-08;1,58E-06;6,02E-07;6,82E-07
7,61E-08;7,21E-08;7,10E-07;8,03E-08;7,83E-05
7,98E-08;3,04E-07;8,04E-08;7,47E-08;8,58E-08
7,72E-08;7,63E-08;6,91E-07;8,89E-07;7,09E-06
1,73E-07;2,08E-07;7,58E-08;5,28E-07;3,20E-05
7,63E-08;7,64E-08;8,05E-08;1,21E-06;1,41E-07
8,10E-08;7,73E-08;7,49E-08;7,32E-08;2,29E-07
6,30E-07;7,35E-08;1,14E-07;8,78E-07;5,16E-06
7,81E-08;8,44E-08;7,90E-08;8,44E-07;3,37E-06
1,56E-07;1,70E-07;3,08E-07;4,42E-07;9,23E-06
