NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11;NSta=12;NSta=13;NSta=14;NSta=15;NSta=16;NSta=17;NSta=18;NSta=19;NSta=20;NSta=21;NSta=22;NSta=23;NSta=24;NSta=25
7.604199999988737e-08;7.908999999983736e-08;8.033800000006865e-08;7.918000000017855e-08;7.54600000001382e-08;7.887999999978136e-08;7.331800000009993e-08;1.1593400000009525e-07;2.7541399999986284e-07;7.444400000000684e-08;7.348000000018119e-08;7.852799999996662e-08;7.368599999990622e-08;7.761800000016807e-08;7.291000000009264e-08;9.812000000009036e-08;7.886200000006839e-08;7.62199999999602e-08;8.342000000016725e-08;1.162642000000158e-06;1.3748819999999107e-06;1.4409000000004112e-07;1.1570220000001189e-06;0.0001289315059999;6.217739999998529e-07
7.812000000040344e-08;7.824600000017058e-08;7.912199999982052e-08;7.249200000014611e-08;2.601120000003121e-07;8.046000000039299e-08;7.287000000033572e-08;1.453820000003603e-07;9.612800000002865e-08;7.824800000033606e-08;7.536199999957915e-08;1.474820000000321e-07;7.676799999956075e-08;5.827519999996866e-07;4.011220000004201e-07;1.079859999997268e-07;1.431119999999453e-07;7.319719999996365e-07;3.772140000002366e-07;7.968780000000564e-07;1.0609999999999787e-07;4.518239999997675e-07;1.2630700000002548e-06;3.558024600000031e-05;2.125408399999973e-05
7.805400000027162e-08;7.810800000029871e-08;7.891799999981686e-08;7.82160000003529e-08;2.297579999996913e-07;3.320399999999779e-07;8.73779999999158e-08;2.1781800000031385e-07;7.948599999973995e-08;1.925399999995747e-07;7.859399999965434e-08;7.564800000015027e-08;7.285600000006554e-08;7.474999999956823e-08;1.1005400000030365e-07;8.596880000002471e-07;1.079180000003177e-07;1.0668999999996489e-07;4.2089999999994644e-07;1.3775100000001927e-06;3.0650220000003613e-06;5.059120000003858e-07;3.137780000000312e-06;2.057490000000328e-06;8.11693999999985e-06
8.013200000078768e-08;7.726399999974377e-08;7.470799999964583e-08;1.6753399999913658e-07;7.839799999942444e-08;4.956200000005851e-07;7.493600000074707e-08;7.524799999991671e-08;4.372180000000725e-07;2.1933800000084606e-07;7.545799999952864e-08;7.560799999950518e-08;7.794999999966024e-08;7.38719999997528e-08;7.951000000083753e-08;1.465480000000241e-07;1.8483000000024677e-07;5.014540000001233e-07;7.554399999953887e-08;9.660597999999964e-06;1.9185953999999227e-05;1.0933739999998692e-06;4.666190000000015e-06;2.715406199999926e-05;8.560905999999591e-06
7.405999999932077e-08;7.712600000076009e-08;8.049200000037615e-08;7.725200000052723e-08;7.905000000008045e-08;7.219999999996675e-08;7.744999999914625e-08;2.7869000000002585e-07;7.55760000004102e-08;8.063599999985626e-08;1.8968999999913198e-07;5.507619999995938e-07;7.903200000036748e-08;7.788199999936296e-08;7.794200000077469e-08;7.781999999956214e-08;7.973599999999692e-08;4.498460000004201e-07;8.074399999991045e-08;7.961799999911536e-08;7.138159999993121e-07;2.568725999999799e-06;7.43300000003444e-08;1.7048523999999787e-05;5.387760000008513e-07
7.613800000072501e-08;7.328799999939405e-08;7.927599999923984e-08;7.956399999997644e-08;7.47019999991494e-08;7.976800000086825e-08;7.999600000019313e-08;8.013200000078768e-08;7.629000000086706e-08;7.642799999985072e-08;9.85720000006296e-08;7.570400000034282e-08;7.71139999997672e-08;7.300999999948487e-08;2.011419999998765e-07;7.328599999922859e-08;1.329216000000244e-06;2.1960399999976234e-07;1.2835920000000556e-06;6.526220000004912e-07;5.896209999999513e-06;2.524859999999407e-06;1.18225999999666e-07;2.7957492000000528e-05;0.000130178098
7.607200000059322e-08;7.61439999994451e-08;7.607799999931332e-08;7.628800000070158e-08;8.034799999911968e-08;7.934799999986809e-08;7.350999999999885e-08;2.635679999993812e-07;1.0565400000039917e-07;7.872599999991793e-08;8.07980000008257e-08;3.028759999992304e-07;1.4120800000050338e-07;7.302000000031229e-08;4.841039999998742e-07;2.6116999999992176e-07;2.032419999995483e-07;5.300259999998503e-07;9.692999999977304e-08;2.100415999999328e-06;5.857099999992954e-07;1.858440000006567e-07;5.251217999999725e-06;1.1189559999991162e-06;8.22915480000006e-05
7.899999999949614e-08;7.600600000046142e-08;7.28619999996738e-08;7.301200000142671e-08;7.400000000146178e-08;7.892800000064426e-08;4.510300000006851e-07;7.699200000033102e-08;7.302999999936332e-08;7.501800000042635e-08;9.701800000172513e-08;7.602399999839804e-08;1.4329000000046222e-07;7.302999999936332e-08;7.903599999892209e-08;7.504799999935587e-08;7.613600000055953e-08;2.907480000011731e-07;1.567360000009899e-07;8.42047999999096e-07;7.774199999843744e-08;1.5822340000006818e-06;5.863863999998387e-06;3.6581079999997713e-06;1.3433280000008096e-06
7.207799999875419e-08;7.516200000168282e-08;8.064600000068368e-08;7.532400000087593e-08;8.164600000171163e-08;7.850800000142045e-08;7.55760000004102e-08;1.0344000000017673e-07;6.437499999982776e-07;8.082200000103512e-08;1.6889999999847305e-07;5.049839999990979e-07;7.237200000176358e-08;6.301579999998808e-07;8.707420000000354e-07;8.090800000104538e-08;5.589159999992433e-07;1.494820000011998e-07;6.559458000001684e-06;1.0075659999984057e-06;3.763870000000225e-06;5.59174200000001e-06;6.441825599999973e-05;8.435400000000115e-05;0.000118226648
7.201200000039875e-08;7.50240000009228e-08;2.064419999996403e-07;2.970480000001885e-07;7.829200000131209e-08;7.208199999908516e-08;3.600840000004269e-07;7.687600000139127e-08;7.810800000029871e-08;7.261400000047046e-08;7.513199999920061e-08;7.814399999972466e-08;1.4245999999928925e-07;7.616799999965451e-08;7.693599999925026e-08;5.128039999995337e-07;7.24859999998273e-07;1.62927599999918e-06;1.0170960000017714e-06;1.5642520000014314e-06;3.77627999998964e-07;2.684255999998442e-06;5.8147579999996425e-06;8.215600000127666e-08;8.438512000001452e-06
7.408999999825029e-08;7.417999999859148e-08;7.423199999934127e-08;7.435999999927389e-08;7.493800000091255e-08;7.665600000095198e-08;7.764200000082157e-08;7.931200000044214e-08;7.268399999986741e-07;7.79179999987889e-08;7.499599999860608e-08;8.310400000155482e-08;5.605600000002653e-07;7.938399999929403e-08;2.7838600000151814e-07;8.052879999986828e-07;7.720400000010841e-08;5.769979999996621e-07;7.547400000014193e-07;8.368599999997174e-08;2.6385399999995228e-06;8.800439999987475e-07;4.684590000000099e-06;1.138046000001225e-06;9.233900000005236e-07
7.701799999892957e-08;7.404200000138418e-08;8.001599999829523e-08;8.008400000036886e-08;7.759000000007178e-08;7.924799999869948e-08;8.015599999922075e-08;1.567539999989265e-07;7.519800000110876e-08;2.822159999986695e-07;9.222199999925353e-08;7.203999999916279e-08;9.963600000162389e-08;1.3473300000015342e-06;2.81818000001266e-07;3.163479999983565e-07;7.245400000144286e-08;7.228019999985236e-07;2.554020000005153e-07;2.8339320000014824e-06;8.609600000042405e-08;7.215500000015141e-07;8.129800000133969e-08;7.251014000001277e-06;2.732072000000585e-06
7.909600000033379e-08;7.92039999986116e-08;7.880000000071163e-08;7.33960000012246e-08;7.324199999914071e-08;7.781600000100753e-08;7.370200000167415e-08;7.319599999888737e-08;7.49119999987613e-08;7.75080000003925e-08;9.241220000006932e-07;7.620599999924593e-08;7.57180000015012e-08;2.0041599999842678e-07;1.4576199999893904e-07;2.96219999999181e-07;1.148220000004585e-07;7.651800000019194e-08;1.4492600000082237e-07;6.401258000000354e-06;4.75715199999982e-06;1.226861999999329e-06;4.290619999984813e-07;9.568999999842733e-08;0.0001314523579999
7.902999999842564e-08;7.305999999829284e-08;7.560199999900875e-08;7.911999999876686e-08;7.888800000088737e-08;7.7395999998231e-08;7.621600000007333e-08;7.36259999989386e-08;7.62700000009886e-08;4.3480600000123117e-07;7.733600000037199e-08;7.636599999827353e-08;7.880600000120809e-08;5.654439999993599e-07;1.549619999998697e-07;3.7209199999921337e-07;1.0707799999920555e-07;1.0102940000003002e-06;5.29081999999903e-07;2.5058880000017327e-06;1.0300153999999394e-05;5.194121999998913e-06;1.8287040000011245e-06;2.197335999998273e-06;3.4614420000025342e-06
7.21080000012364e-08;1.412219999998854e-07;7.438600000142516e-08;7.544400000014661e-08;7.45399999999563e-08;7.897600000106308e-08;3.487799999994934e-07;7.90560000005769e-08;7.700200000115844e-08;8.010399999847096e-08;3.6920000000151285e-07;7.93260000016005e-08;7.390000000029317e-08;1.015419999994549e-07;7.765599999842722e-08;8.278199999978143e-08;1.5603399999974958e-07;8.010399999847096e-08;1.0277599999852782e-07;2.2560359999985734e-06;7.68696000001512e-07;1.49712599999674e-06;5.47691199999889e-06;1.5551199999919166e-07;5.733423999998877e-06
7.503599999836297e-08;7.207800000230691e-08;8.01699999968264e-08;7.815600000071754e-08;2.511859999998478e-07;7.855599999828655e-08;7.828199999693198e-08;4.885040000033313e-07;1.4036599999656118e-07;4.0940200000250113e-07;7.543200000270645e-08;2.4047400000171136e-07;7.498200000100041e-08;7.866400000011708e-08;7.43499999984465e-08;7.883600000013758e-08;1.7959259999997812e-06;2.968439999975203e-07;1.9093599999990827e-06;1.845504000002052e-06;1.641728000002729e-06;9.887600000269005e-08;6.865769999997439e-06;1.566825199999755e-05;1.384619600000292e-05
7.41200000007325e-08;7.724000000308706e-08;7.595999999665537e-08;7.747400000113204e-08;7.883199999980661e-08;2.1813000000037167e-07;7.783400000249686e-08;7.894000000163716e-08;7.907999999900994e-08;7.669400000054338e-08;2.8332000000119704e-07;7.944000000037476e-08;7.606399999815495e-08;2.3167999999884615e-07;2.953059999981633e-07;1.4811399999814513e-07;7.40400000012187e-08;7.855999999861753e-08;2.2326799999916605e-07;3.393111399999782e-05;0.0001102504179999;6.934199999975021e-07;3.957151999998132e-06;1.1264640000021589e-06;1.4939579999975194e-06
7.704800000141178e-08;8.009599999780903e-08;7.575600000109261e-08;7.719199999911553e-08;7.547799999940707e-08;7.67040000013708e-08;2.4234800000044744e-07;7.637600000265367e-08;6.234559999995782e-07;1.0499799999763581e-07;7.753399999899102e-08;6.115999999991573e-07;1.1115800000283116e-07;7.369600000117772e-08;1.0773799999697077e-07;7.12616000001276e-07;2.390399999967485e-07;5.393180000012876e-07;2.234983999997553e-06;6.678092000001356e-06;1.5324600000354848e-07;3.977548000001718e-06;3.644815999997775e-06;3.129059999977813e-07;8.879086000000313e-05
7.9126000002816e-08;7.625799999999573e-08;7.45399999999563e-08;7.35160000004953e-08;8.01300000006222e-08;2.072959999992463e-07;7.391199999773336e-08;3.428180000000225e-07;7.416999999776408e-08;3.46295999996471e-07;4.574160000032634e-07;7.453599999962536e-08;6.172459999973512e-07;2.108059999983425e-07;7.293200000191291e-08;4.332700000020395e-07;2.2838999999663659e-07;7.742799999732598e-08;6.554480000033891e-07;1.5947580000030826e-06;1.3051399999994827e-06;6.921880000000158e-06;7.313658000001055e-06;1.4791800000324428e-07;9.563069999998676e-06
7.305399999779639e-08;2.8311999999885985e-07;8.0324000002463e-08;7.622799999751352e-08;7.378200000118797e-08;7.786399999787363e-08;7.640799999819593e-08;1.9326000000319254e-07;7.453399999945988e-08;7.858800000093425e-08;7.664200000334633e-08;1.305019999975343e-07;7.632199999818568e-08;7.482800000246926e-08;1.0586999999873117e-07;3.711359999982733e-07;1.3210500000013782e-06;2.911859999983335e-07;7.75580000009768e-08;1.4087779999982786e-06;2.272412000003498e-06;1.531224400000042e-05;1.2141240000005385e-06;3.171785600000021e-05;3.960680000005823e-07
