1;9,03E-08;5,75E-09;1,92E-10;1,99E-08;1,16E-07
4;9,04E-08;6,77E-08;1,88E-09;1,66E-08;1,77E-07
7;1,09E-07;1,30E-07;3,66E-09;1,31E-08;2,56E-07
10;1,78E-07;2,11E-07;9,43E-09;1,61E-08;4,14E-07
13;2,76E-07;3,34E-07;2,16E-08;3,24E-08;6,64E-07
16;4,42E-07;4,98E-07;4,36E-08;6,07E-08;1,04E-06
19;7,16E-07;7,10E-07;8,10E-08;1,08E-07;1,62E-06
22;1,25E-06;9,89E-07;1,45E-07;1,93E-07;2,57E-06
25;2,19E-06;1,35E-06;2,51E-07;3,35E-07;4,12E-06
28;3,41E-06;1,63E-06;3,72E-07;5,06E-07;5,92E-06
31;5,06E-06;1,87E-06;5,11E-07;7,10E-07;8,16E-06
34;6,99E-06;2,08E-06;6,78E-07;9,60E-07;1,07E-05
37;8,87E-06;2,12E-06;8,07E-07;1,17E-06;1,30E-05
40;1,10E-05;2,21E-06;9,67E-07;1,42E-06;1,56E-05
