Nsta;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9
1;69.01562771;76.60336665;35.82864257;41.1077079;24.19456975;28.09121056
4;49.22388791;57.80126564;23.55508894;28.63586241;15.47773917;19.02961411
7;38.2587107;46.42720348;16.26316707;20.34042757;13.81830848;15.65740396
10;27.44106477;34.56057262;15.50765116;17.55395139;17.31276346;19.32246232
13;26.44853542;33.31074182;19.31196017;21.22943235;20.8854046;22.67306448
16;22.80356;28.99070747;22.89115458;24.71737112;23.72886306;25.5573455
19;19.76033901;25.7628823;26.12958182;27.57029803;26.44016261;27.63981788
22;20.22872149;21.98869105;28.74314517;29.89929228;28.56921524;29.68502815
25;27.14952444;28.13871999;30.71717515;31.05092513;30.50755179;31.18387108
28;31.56839688;33.1293542;31.67932723;32.45468515;31.33281353;31.68819788
31;33.61142478;34.77665363;31.84459836;32.18490575;31.52011832;31.83760665
34;33.92190004;34.82973951;32.3708202;32.6027864;31.90303441;32.28671397
37;33.94036547;34.38944191;32.13163093;32.49230948;31.8260827;31.97597178
40;33.32790687;33.79393821;32.09832953;32.42517688;33.92475489;32.00696866
