Nsta;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9
1;0.15;0.14;0.12;0.1;0.11;0.09
4;0.21;0.18;0.18;0.15;0.17;0.14
7;0.27;0.22;0.26;0.21;0.32;0.25
10;0.38;0.3;0.41;0.31;0.53;0.43
13;0.39;0.31;0.66;0.52;0.85;0.71
16;0.46;0.36;1.04;0.86;1.31;1.13
19;0.53;0.4;1.62;1.36;2;1.75
22;0.78;0.55;2.57;2.28;3.18;2.81
25;1.44;1;4.12;3.23;4.82;4.38
28;2.6;2.04;5.92;5.43;6.79;6.28
31;4.4;3.58;8.16;7.09;9.06;8.13
34;6.22;5.44;10.7;9.66;11.9;10.2
37;9.12;7.57;13;12.1;14.6;12.5
40;9.9;9.09;15.6;13.9;15.5;14.9
