NSta=1;NSta=4;NSta=7;NSta=10;NSta=13;NSta=16;NSta=19;NSta=22;NSta=25;NSta=28;NSta=31;NSta=34;NSta=37;NSta=40
6,72E-08;6,39E-08;8,23E-07;3,93E-06;2,21E-07;6,32E-05;2,11E-05;5,19E-06;1,75E-05;2,24E-05;2,09E-06;7,03E-06;;
6,05E-08;1,46E-07;5,72E-07;5,37E-07;6,61E-08;3,96E-06;3,26E-06;4,19E-05;4,34E-06;4,20E-06;0,00015895;;;
6,62E-08;6,47E-08;1,05E-06;2,42E-06;8,71E-08;3,25E-06;2,60E-06;2,42E-05;0,00015763;8,02E-06;;;;
6,85E-08;1,03E-07;2,08E-06;6,08E-08;1,49E-06;1,55E-06;1,22E-05;6,44E-05;3,33E-05;;;;;
6,53E-08;1,70E-06;7,08E-08;1,03E-07;6,35E-07;2,95E-06;3,96E-05;1,17E-07;;;;;;
6,76E-08;8,13E-08;1,12E-05;8,25E-06;1,40E-06;7,16E-05;3,05E-05;;;;;;;
2,20E-07;2,29E-07;5,18E-07;6,37E-08;8,59E-05;0,000114167;4,79E-06;;;;;;;
6,40E-08;1,14E-06;6,12E-07;2,18E-05;8,99E-06;3,98E-06;;;;;;;;
6,63E-08;6,39E-08;9,09E-07;3,12E-05;6,04E-06;;;;;;;;;
8,29E-08;3,99E-07;1,98E-06;7,60E-06;1,16E-05;3,31E-05;1,63E-05;2,72E-05;5,32E-05;1,15E-05;8,05E-05;7,03E-06;;
