Nsta;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9
1;95.3516;95.3516;95.3359;95.3359;95.3271;95.3271
4;95.3516;95.3516;95.3496;95.3496;95.343;95.3442
7;95.3516;95.3516;95.3527;95.3538;55.8754;62.643
10;95.3516;95.3516;61.8273;72.8023;26.8462;29.6987
13;95.3516;95.3516;30.9207;35.8143;14.0253;15.5041
16;95.3503;95.3516;16.5962;18.7622;8.00232;8.6084
19;95.3485;95.3495;9.4009;10.5498;4.68493;5.12695
20; 84.1965; 95.3668;8.4009;9.5498;3.68493;4.12696
21; 72.6356; 88.9639;7.4009;8.5498;3.18493;3.12697
22;62.6074;82.7273;5.3608;5.82173;2.73127;2.96786
23; 55.9238; 79.1142;4.4009;4.5498;2.1127;2.46787
24; 28.1577; 44.6274;3.4009;3.5498;1.83127;1.96788
25;25.3891;35.2156;3.135;3.15187;1.6875;1.81543
28;12.0745;14.6735;2.11384;2.25167;1.16525;1.24564
31;6.70237;7.96875;1.52747;1.73866;0.867881;0.958291
34;4.70014;5.23782;1.14407;1.25965;0.653866;0.749368
37;3.20312;3.81229;0.95228;1.01056;0.534734;0.619193
40;3.00488;3.22803;0.791211;0.883398;0.664062;0.520752
